RIAD_CODE;BIC;COUNTRY_OF_REGISTRATION;NAME;BOX;ADDRESS;POSTAL;CITY;CATEGORY;HEAD_COUNTRY_OF_REGISTRATION;HEAD_NAME;HEAD_RIAD_CODE;RESERVE;EXEMPT;RIAD_CODE2
FR13507;CCBPFRPPLIL;FR;Banque populaire du Nord;;847 AVENUE DE LA REPUBLIQUE;59700;MARCQ EN BAROEUL;Credit institution S122;;;;Y;N;FR13507
FR13528;UNCRFRPPXXX;FR;Unicredit SpA;;117 AVENUE DES CHAMPS ELYSEES;75008;PARIS 08;Credit institution S122;IT;UNICREDIT, SOCIETA' PER AZIONI;IT0000102484824;Y;N;FR13528
FR13558;AUXPFR21XXX;FR;Auxifip;CS 30002;12 PLACE DES ETATS-UNIS;92548;MONTROUGE CEDEX;Credit institution S122;;;;Y;N;FR13558
FR13579;BSAOFR21XXX;FR;Banque Saint-Olive;;84 RUE DU GUESCLIN;69006;LYON 06;Credit institution S122;;;;Y;N;FR13579
FR13580;;FR;FACTOFRANCE;;TOUR D2 17 BIS PLACE DES REFLETS;92988;PARIS-LA DEFENSE CEDEX;Credit institution S122;;;;Y;N;FR13580
FR13606;AGRIFRCC836;FR;Caisse régionale de crédit agricole mutuel d'Ille-et-Vilaine;;4 RUE LOUIS BRAILLE;35136;ST JACQUES DE LA LANDE;Credit institution S122;;;;Y;N;FR13606
FR13698;;FR;Ester finance technologies;;12 PLACE DES ETATS UNIS BP 70052;92547;MONTROUGE;Credit institution S122;;;;Y;N;FR13698
FR13733;;FR;The bank of New York Mellon SA/NV;;7 RUE SCRIBE;75109;PARIS;Credit institution S122;BE;THE BANK OF NEW YORK MELLON;BE0806743159;Y;N;FR13733
FR13769;;FR;Société générale pour le développement des opérations de crédit-bail immobilier- Sogebail;;29 BOULEVARD HAUSSMANN;75009;PARIS 09;Credit institution S122;;;;Y;N;FR13769
FR13798;;FR;Caisse solidaire;;235 BOULEVARD PAUL PAINLEVE;59000;LILLE;Credit institution S122;;;;Y;N;FR13798
FR13807;CCBPFRPPNAN;FR;Banque populaire Grand Ouest;Saint Herb;15 BOULEVARD DE LA BOUTIERE;35760;SAINT GREGOIRE;Credit institution S122;;;;Y;N;FR13807
FR13825;;FR;Caisse d'épargne et de prévoyance de Rhône Alpes;;116 COURS LAFAYETTE;69404;LYON Cedex 03;Credit institution S122;;;;Y;N;FR13825
FR13833;;FR;Stifel Europe Bank AG;;123 RUE DE BERRI;75008;PARIS;Credit institution S122;DE;Stifel Europe Bank AG;DE05731;Y;N;FR13833
