isocode,abbr,descr
SI,d.o.o.,Družba z omejeno odgovornostjo d.o.o.
SI,d.d.,Delniška družba d.d.
SI,k.d.d.,Komanditna delniška družba k.d.d.
SI,GIZ,Gospodarsko interesno združenje GIZ
SI,z.o.o.,Zadruga z.o.o.
SI,z.b.o.,Zadruga z.b.o.
SI,d.v.z.,Družba za vzajemno zavarovanje d.v.z.
SK,v.o.s.,Verejná obchodná spolocnost
SK,s.r.o.,Spolocnost s rucením obmedzeným
SK,k. s.,Komanditná spolocnost
SK,N.O.,Nezisková organizácia
SK,a.s.,Akciová spolocnost
SK,š.p.,Štátny podnik
SK,VÚC,Samosprávny kraj
